,confirmed,department,nation,operator,operators_departments,year
104,unconfirmed,Business,germany,Jerry Rivera,spanish,2018
105,confirmed,Business,spain,Jerry Rivera,spanish,2018
106,unconfirmed,Business,france,Tristan Diaz,spanish,2018
107,confirmed,Business,spain,Tammie Friedman,french,2018
108,unconfirmed,Client,france,Tiffany Jones,spanish,2018
109,unconfirmed,Client,germany,Dennis David,french,2018
110,confirmed,Business,spain,Tiffany Jones,spanish,2018
111,unconfirmed,Client,italy,Karen Harrington,german,2018
112,unconfirmed,Client,italy,Kristen Berry,spanish,2018
113,unconfirmed,Client,france,Kristen Berry,spanish,2018
114,unconfirmed,Business,italy,Dennis David,french,2018
115,unconfirmed,Client,germany,Wesley Blanchard,german,2018
116,unconfirmed,Client,france,Jerry Rivera,spanish,2018
117,confirmed,Client,spain,Jerry Rivera,spanish,2018
118,confirmed,Business,germany,Tiffany Jones,spanish,2018
119,unconfirmed,Business,spain,Tiffany Jones,spanish,2018
120,unconfirmed,Business,spain,Wesley Blanchard,german,2018
121,confirmed,Client,spain,Jerry Rivera,spanish,2018
122,unconfirmed,Business,spain,Mr. Timothy Hall,italan,2018
123,confirmed,Business,spain,James Rivera,spanish,2018
124,unconfirmed,Client,italy,Dennis David,french,2018
125,unconfirmed,Business,italy,Tristan Diaz,spanish,2018
126,confirmed,Client,italy,Denise Andrews,german,2018
127,unconfirmed,Business,germany,Jerry Rivera,spanish,2018
128,unconfirmed,Business,france,Denise Andrews,german,2018
129,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
130,unconfirmed,Business,italy,Karen Harrington,german,2018
131,confirmed,Client,spain,Tristan Diaz,spanish,2018
132,unconfirmed,Client,germany,Dennis David,french,2018
133,unconfirmed,Client,italy,Kristen Berry,spanish,2018
134,confirmed,Client,spain,Karen Harrington,german,2018
135,unconfirmed,Client,germany,Karen Harrington,german,2018
136,unconfirmed,Client,spain,Wesley Blanchard,german,2018
137,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
138,confirmed,Client,germany,Jerry Rivera,spanish,2018
139,unconfirmed,Business,italy,Mr. Timothy Hall,italan,2018
140,confirmed,Business,italy,Zachary Henry,german,2018
141,unconfirmed,Client,spain,Stephen Silva,german,2018
142,unconfirmed,Client,spain,Denise Andrews,german,2018
143,confirmed,Client,germany,Stephen Silva,german,2018
144,confirmed,Client,italy,Tiffany Jones,spanish,2018
145,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
146,unconfirmed,Client,france,Dennis David,french,2018
147,unconfirmed,Client,spain,Zachary Henry,german,2018
148,unconfirmed,Client,spain,Denise Andrews,german,2018
149,confirmed,Business,italy,Dennis David,french,2018
150,unconfirmed,Client,germany,Kenneth Lee,italan,2018
151,unconfirmed,Client,germany,Zachary Henry,german,2018
152,confirmed,Client,spain,Tristan Diaz,spanish,2018
153,unconfirmed,Client,germany,Denise Andrews,german,2018
154,unconfirmed,Client,italy,Tammie Friedman,french,2018
155,unconfirmed,Client,spain,Kenneth Lee,italan,2018
156,confirmed,Client,spain,Jerry Rivera,spanish,2018
157,confirmed,Business,spain,Dennis David,french,2018
158,unconfirmed,Client,france,Karen Harrington,german,2018
159,unconfirmed,Business,italy,Tristan Diaz,spanish,2018
160,unconfirmed,Business,germany,Dennis David,french,2018
161,confirmed,Client,spain,Kenneth Lee,italan,2018
162,unconfirmed,Client,spain,James Rivera,spanish,2018
163,confirmed,Client,italy,Tiffany Jones,spanish,2018
164,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
165,confirmed,Client,spain,Karen Harrington,german,2018
166,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
167,confirmed,Client,france,Mr. Timothy Hall,italan,2018
168,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
169,confirmed,Client,italy,Tristan Diaz,spanish,2018
170,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
171,unconfirmed,Client,spain,Zachary Henry,german,2018
172,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
173,confirmed,Client,spain,Kristen Berry,spanish,2018
174,confirmed,Business,germany,Tiffany Jones,spanish,2018
175,unconfirmed,Business,germany,Tammie Friedman,french,2018
176,unconfirmed,Client,italy,Tammie Friedman,french,2018
177,unconfirmed,Client,spain,Karen Harrington,german,2018
178,unconfirmed,Client,italy,Dennis David,french,2018
179,unconfirmed,Client,germany,Denise Andrews,german,2018
180,unconfirmed,Business,spain,Kristen Berry,spanish,2018
181,confirmed,Client,spain,Wesley Blanchard,german,2018
182,unconfirmed,Client,germany,Zachary Henry,german,2018
183,unconfirmed,Client,italy,James Rivera,spanish,2018
184,confirmed,Client,germany,Jerry Rivera,spanish,2018
185,unconfirmed,Business,germany,Zachary Henry,german,2018
186,confirmed,Business,spain,Kristen Berry,spanish,2018
187,unconfirmed,Business,italy,Kristen Berry,spanish,2018
188,unconfirmed,Client,france,Wesley Blanchard,german,2018
189,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
190,confirmed,Business,spain,Wesley Blanchard,german,2018
191,confirmed,Client,germany,Wesley Blanchard,german,2018
192,unconfirmed,Business,spain,Dennis David,french,2018
193,confirmed,Business,germany,Kristen Berry,spanish,2018
194,confirmed,Client,germany,Tiffany Jones,spanish,2018
195,unconfirmed,Business,spain,Mr. Timothy Hall,italan,2018
196,unconfirmed,Business,spain,Karen Harrington,german,2018
197,confirmed,Client,germany,Tiffany Jones,spanish,2018
198,unconfirmed,Business,spain,Karen Harrington,german,2018
199,unconfirmed,Business,france,Mr. Timothy Hall,italan,2018
200,unconfirmed,Client,italy,Karen Harrington,german,2018
201,unconfirmed,Client,spain,James Rivera,spanish,2018
202,unconfirmed,Business,france,Dennis David,french,2018
203,unconfirmed,Client,italy,Tammie Friedman,french,2018
204,unconfirmed,Business,france,Denise Andrews,german,2018
205,unconfirmed,Business,spain,Stephen Silva,german,2018
206,unconfirmed,Client,italy,Wesley Blanchard,german,2018
207,unconfirmed,Client,spain,James Rivera,spanish,2018
208,unconfirmed,Business,france,Zachary Henry,german,2018
209,unconfirmed,Business,germany,Jerry Rivera,spanish,2018
210,unconfirmed,Business,germany,Mr. Timothy Hall,italan,2018
211,confirmed,Client,germany,Kristen Berry,spanish,2018
212,unconfirmed,Business,spain,Mr. Timothy Hall,italan,2018
213,confirmed,Client,germany,Tiffany Jones,spanish,2018
214,confirmed,Business,spain,Dennis David,french,2018
215,confirmed,Client,italy,Stephen Silva,german,2018
216,unconfirmed,Business,spain,Tristan Diaz,spanish,2018
217,unconfirmed,Client,france,Jerry Rivera,spanish,2018
218,unconfirmed,Business,italy,Karen Harrington,german,2018
219,unconfirmed,Business,italy,Tristan Diaz,spanish,2018
220,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
221,unconfirmed,Client,germany,Tammie Friedman,french,2018
222,unconfirmed,Business,spain,Zachary Henry,german,2018
223,unconfirmed,Business,spain,Mr. Timothy Hall,italan,2018
224,confirmed,Client,italy,Mr. Timothy Hall,italan,2018
225,unconfirmed,Client,france,Karen Harrington,german,2018
226,confirmed,Business,italy,Zachary Henry,german,2018
227,confirmed,Business,spain,Karen Harrington,german,2018
228,confirmed,Client,italy,Karen Harrington,german,2018
229,unconfirmed,Client,italy,Kristen Berry,spanish,2018
230,unconfirmed,Client,france,Zachary Henry,german,2018
231,confirmed,Client,spain,Zachary Henry,german,2018
232,confirmed,Business,france,Denise Andrews,german,2018
233,unconfirmed,Client,germany,Kristen Berry,spanish,2018
234,unconfirmed,Client,italy,Dennis David,french,2018
235,unconfirmed,Client,germany,Kenneth Lee,italan,2018
236,confirmed,Client,italy,Wesley Blanchard,german,2018
237,unconfirmed,Client,italy,Denise Andrews,german,2018
238,unconfirmed,Business,spain,Zachary Henry,german,2018
239,unconfirmed,Client,germany,Karen Harrington,german,2018
240,unconfirmed,Client,france,James Rivera,spanish,2018
241,unconfirmed,Business,spain,Mr. Timothy Hall,italan,2018
242,unconfirmed,Client,germany,Stephen Silva,german,2018
243,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
244,unconfirmed,Client,germany,Kenneth Lee,italan,2018
245,confirmed,Client,spain,James Rivera,spanish,2018
246,unconfirmed,Client,france,Stephen Silva,german,2018
247,unconfirmed,Client,italy,Zachary Henry,german,2018
248,unconfirmed,Client,germany,Zachary Henry,german,2018
249,confirmed,Client,france,Jerry Rivera,spanish,2018
250,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
251,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
252,unconfirmed,Business,italy,Kristen Berry,spanish,2018
253,unconfirmed,Client,france,Tristan Diaz,spanish,2018
254,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
255,confirmed,Business,france,Zachary Henry,german,2018
256,unconfirmed,Client,spain,Dennis David,french,2018
257,unconfirmed,Client,germany,Kristen Berry,spanish,2018
258,unconfirmed,Client,spain,Zachary Henry,german,2018
259,confirmed,Client,france,Kristen Berry,spanish,2018
260,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
261,unconfirmed,Client,italy,Tammie Friedman,french,2018
262,unconfirmed,Business,germany,Tiffany Jones,spanish,2018
263,unconfirmed,Client,germany,James Rivera,spanish,2018
264,confirmed,Business,france,Tiffany Jones,spanish,2018
265,unconfirmed,Business,france,Karen Harrington,german,2018
266,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
267,confirmed,Client,germany,James Rivera,spanish,2018
268,confirmed,Client,italy,Tiffany Jones,spanish,2018
269,unconfirmed,Business,france,Jerry Rivera,spanish,2018
270,unconfirmed,Client,italy,Karen Harrington,german,2018
271,confirmed,Client,italy,Jerry Rivera,spanish,2018
272,confirmed,Business,italy,Tammie Friedman,french,2018
273,unconfirmed,Client,france,Kenneth Lee,italan,2018
274,unconfirmed,Client,france,Stephen Silva,german,2018
275,unconfirmed,Client,italy,Kristen Berry,spanish,2018
276,unconfirmed,Client,italy,Wesley Blanchard,german,2018
277,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
278,unconfirmed,Client,germany,Kristen Berry,spanish,2018
279,unconfirmed,Client,france,Dennis David,french,2018
280,unconfirmed,Client,france,Zachary Henry,german,2018
281,confirmed,Client,italy,Zachary Henry,german,2018
282,unconfirmed,Client,italy,Stephen Silva,german,2018
283,unconfirmed,Business,spain,Karen Harrington,german,2018
284,confirmed,Business,spain,Denise Andrews,german,2018
285,confirmed,Client,france,Dennis David,french,2018
286,unconfirmed,Client,france,Tristan Diaz,spanish,2018
287,unconfirmed,Client,france,James Rivera,spanish,2018
288,unconfirmed,Business,france,Wesley Blanchard,german,2018
289,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
290,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
291,unconfirmed,Business,spain,Jerry Rivera,spanish,2018
292,unconfirmed,Client,spain,Stephen Silva,german,2018
293,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
294,unconfirmed,Business,germany,Tiffany Jones,spanish,2018
295,unconfirmed,Client,spain,Stephen Silva,german,2018
296,unconfirmed,Client,spain,Karen Harrington,german,2018
297,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
298,confirmed,Client,germany,Karen Harrington,german,2018
299,confirmed,Client,spain,Kenneth Lee,italan,2018
300,unconfirmed,Client,germany,Kristen Berry,spanish,2018
301,unconfirmed,Client,spain,Denise Andrews,german,2018
302,unconfirmed,Client,italy,Zachary Henry,german,2018
303,unconfirmed,Client,france,James Rivera,spanish,2018
304,unconfirmed,Business,france,James Rivera,spanish,2018
305,unconfirmed,Client,france,Zachary Henry,german,2018
306,unconfirmed,Client,italy,Dennis David,french,2018
307,unconfirmed,Client,france,Kristen Berry,spanish,2018
308,confirmed,Business,germany,Kenneth Lee,italan,2018
309,unconfirmed,Client,france,Wesley Blanchard,german,2018
310,unconfirmed,Client,germany,Karen Harrington,german,2018
311,confirmed,Business,italy,Kenneth Lee,italan,2018
312,confirmed,Business,germany,Tammie Friedman,french,2018
313,unconfirmed,Client,italy,Wesley Blanchard,german,2018
314,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
315,unconfirmed,Business,germany,Tristan Diaz,spanish,2018
316,unconfirmed,Client,france,Stephen Silva,german,2018
317,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
318,confirmed,Client,france,Wesley Blanchard,german,2018
319,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
320,confirmed,Client,italy,Karen Harrington,german,2018
321,unconfirmed,Business,france,Tiffany Jones,spanish,2018
322,confirmed,Client,germany,Dennis David,french,2018
323,confirmed,Business,spain,Kenneth Lee,italan,2018
324,confirmed,Business,germany,Denise Andrews,german,2018
325,confirmed,Business,germany,James Rivera,spanish,2018
326,confirmed,Business,germany,Zachary Henry,german,2018
327,unconfirmed,Business,spain,Wesley Blanchard,german,2018
328,unconfirmed,Business,spain,Dennis David,french,2018
329,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
330,unconfirmed,Client,germany,Kenneth Lee,italan,2018
331,unconfirmed,Business,italy,Tammie Friedman,french,2018
332,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
333,unconfirmed,Client,spain,Tammie Friedman,french,2018
334,unconfirmed,Client,spain,Zachary Henry,german,2018
335,confirmed,Business,spain,Tristan Diaz,spanish,2018
336,unconfirmed,Client,italy,Tammie Friedman,french,2018
337,unconfirmed,Client,spain,Denise Andrews,german,2018
338,unconfirmed,Client,germany,James Rivera,spanish,2018
339,unconfirmed,Business,italy,James Rivera,spanish,2018
340,confirmed,Client,italy,Karen Harrington,german,2018
341,unconfirmed,Client,france,Karen Harrington,german,2018
342,unconfirmed,Client,france,Wesley Blanchard,german,2018
343,unconfirmed,Business,france,Stephen Silva,german,2018
344,unconfirmed,Business,france,Denise Andrews,german,2018
345,unconfirmed,Client,germany,James Rivera,spanish,2018
346,confirmed,Client,france,James Rivera,spanish,2018
347,confirmed,Client,france,Zachary Henry,german,2018
348,unconfirmed,Client,spain,Dennis David,french,2018
349,unconfirmed,Client,france,Tammie Friedman,french,2018
350,confirmed,Client,france,Tristan Diaz,spanish,2018
351,confirmed,Business,germany,Stephen Silva,german,2018
352,confirmed,Client,germany,Kristen Berry,spanish,2018
353,unconfirmed,Client,france,Wesley Blanchard,german,2018
354,unconfirmed,Client,germany,James Rivera,spanish,2018
355,confirmed,Client,italy,James Rivera,spanish,2018
356,unconfirmed,Client,spain,Zachary Henry,german,2018
357,unconfirmed,Business,italy,Zachary Henry,german,2018
358,unconfirmed,Business,italy,Tammie Friedman,french,2018
359,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
360,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
361,unconfirmed,Client,spain,James Rivera,spanish,2018
362,confirmed,Business,germany,Mr. Timothy Hall,italan,2018
363,unconfirmed,Business,spain,Dennis David,french,2018
364,unconfirmed,Business,france,Kristen Berry,spanish,2018
365,unconfirmed,Business,france,Tristan Diaz,spanish,2018
366,unconfirmed,Client,france,Kenneth Lee,italan,2018
367,confirmed,Client,germany,Kenneth Lee,italan,2018
368,unconfirmed,Client,italy,Kristen Berry,spanish,2018
369,unconfirmed,Business,germany,Tiffany Jones,spanish,2018
370,unconfirmed,Client,italy,Kristen Berry,spanish,2018
371,unconfirmed,Client,spain,Stephen Silva,german,2018
372,unconfirmed,Client,germany,Tammie Friedman,french,2018
373,unconfirmed,Business,italy,Tiffany Jones,spanish,2018
374,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
375,unconfirmed,Client,germany,Wesley Blanchard,german,2018
376,confirmed,Client,germany,Wesley Blanchard,german,2018
377,confirmed,Client,germany,Mr. Timothy Hall,italan,2018
378,confirmed,Client,germany,Tristan Diaz,spanish,2018
379,unconfirmed,Client,spain,James Rivera,spanish,2018
380,confirmed,Client,spain,Denise Andrews,german,2018
381,confirmed,Client,italy,Tiffany Jones,spanish,2018
382,unconfirmed,Client,germany,Denise Andrews,german,2018
383,confirmed,Client,italy,Dennis David,french,2018
384,confirmed,Client,spain,Karen Harrington,german,2018
385,unconfirmed,Client,germany,Karen Harrington,german,2018
386,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
387,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
388,confirmed,Business,italy,Tammie Friedman,french,2018
389,unconfirmed,Client,italy,Karen Harrington,german,2018
390,unconfirmed,Client,spain,Dennis David,french,2018
391,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
392,confirmed,Business,spain,Wesley Blanchard,german,2018
393,unconfirmed,Client,italy,Zachary Henry,german,2018
394,unconfirmed,Client,spain,Kenneth Lee,italan,2018
395,unconfirmed,Client,spain,Denise Andrews,german,2018
396,unconfirmed,Client,france,Kristen Berry,spanish,2018
397,confirmed,Client,spain,James Rivera,spanish,2018
398,confirmed,Business,spain,Tristan Diaz,spanish,2018
399,unconfirmed,Client,spain,Karen Harrington,german,2018
400,unconfirmed,Business,spain,Zachary Henry,german,2018
401,confirmed,Client,italy,Karen Harrington,german,2018
402,confirmed,Business,germany,Kristen Berry,spanish,2018
403,unconfirmed,Client,spain,Kristen Berry,spanish,2018
404,unconfirmed,Client,spain,James Rivera,spanish,2018
405,confirmed,Client,france,Kenneth Lee,italan,2018
406,unconfirmed,Business,france,Jerry Rivera,spanish,2018
407,unconfirmed,Client,france,Kristen Berry,spanish,2018
408,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
409,unconfirmed,Client,germany,James Rivera,spanish,2018
410,unconfirmed,Client,france,James Rivera,spanish,2018
411,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
412,confirmed,Client,spain,Tristan Diaz,spanish,2018
413,confirmed,Client,france,Karen Harrington,german,2018
414,confirmed,Client,italy,Dennis David,french,2018
415,unconfirmed,Client,spain,Denise Andrews,german,2018
416,unconfirmed,Business,spain,Kristen Berry,spanish,2018
417,unconfirmed,Client,germany,Stephen Silva,german,2018
418,unconfirmed,Business,italy,Kristen Berry,spanish,2018
419,unconfirmed,Client,italy,Dennis David,french,2018
420,unconfirmed,Client,germany,Wesley Blanchard,german,2018
421,unconfirmed,Client,spain,Stephen Silva,german,2018
422,unconfirmed,Business,spain,Dennis David,french,2018
423,unconfirmed,Business,germany,Kenneth Lee,italan,2018
424,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
425,unconfirmed,Client,italy,Stephen Silva,german,2018
426,unconfirmed,Client,italy,Zachary Henry,german,2018
427,unconfirmed,Client,germany,Wesley Blanchard,german,2018
428,unconfirmed,Client,germany,Karen Harrington,german,2018
429,unconfirmed,Business,france,Karen Harrington,german,2018
430,unconfirmed,Client,italy,Dennis David,french,2018
431,unconfirmed,Client,france,Jerry Rivera,spanish,2018
432,unconfirmed,Client,italy,Karen Harrington,german,2018
433,unconfirmed,Client,france,Kristen Berry,spanish,2018
434,confirmed,Client,france,Tiffany Jones,spanish,2018
435,unconfirmed,Client,italy,Karen Harrington,german,2018
436,confirmed,Business,spain,Denise Andrews,german,2018
437,unconfirmed,Business,france,Denise Andrews,german,2018
438,unconfirmed,Client,france,Dennis David,french,2018
439,unconfirmed,Client,germany,Dennis David,french,2018
440,unconfirmed,Client,germany,Stephen Silva,german,2018
441,unconfirmed,Client,spain,Kristen Berry,spanish,2018
442,unconfirmed,Client,italy,Zachary Henry,german,2018
443,confirmed,Client,germany,Karen Harrington,german,2018
444,unconfirmed,Client,spain,Stephen Silva,german,2018
445,unconfirmed,Client,spain,James Rivera,spanish,2018
446,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
447,confirmed,Business,spain,Tammie Friedman,french,2018
448,unconfirmed,Client,germany,James Rivera,spanish,2018
449,unconfirmed,Client,france,Tristan Diaz,spanish,2018
450,confirmed,Client,italy,Denise Andrews,german,2018
451,confirmed,Business,france,Stephen Silva,german,2018
452,unconfirmed,Business,italy,Tammie Friedman,french,2018
453,confirmed,Business,italy,Kenneth Lee,italan,2018
454,unconfirmed,Client,germany,Stephen Silva,german,2018
455,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
456,unconfirmed,Client,germany,Kenneth Lee,italan,2018
457,confirmed,Client,italy,James Rivera,spanish,2018
458,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
459,unconfirmed,Client,france,Tristan Diaz,spanish,2018
460,confirmed,Business,germany,Mr. Timothy Hall,italan,2018
461,unconfirmed,Business,spain,Kenneth Lee,italan,2018
462,unconfirmed,Client,france,Stephen Silva,german,2018
463,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
464,unconfirmed,Client,italy,Zachary Henry,german,2018
465,confirmed,Client,france,Kristen Berry,spanish,2018
466,unconfirmed,Business,france,Wesley Blanchard,german,2018
467,unconfirmed,Client,france,Dennis David,french,2018
468,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
469,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
470,unconfirmed,Client,france,Stephen Silva,german,2018
471,confirmed,Client,italy,Dennis David,french,2018
472,confirmed,Client,germany,Tammie Friedman,french,2018
473,unconfirmed,Client,germany,Stephen Silva,german,2018
474,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
475,unconfirmed,Client,france,Denise Andrews,german,2018
476,unconfirmed,Client,spain,Wesley Blanchard,german,2018
477,confirmed,Business,italy,Tristan Diaz,spanish,2018
478,unconfirmed,Client,spain,Dennis David,french,2018
479,unconfirmed,Client,spain,Zachary Henry,german,2018
480,confirmed,Client,spain,Kenneth Lee,italan,2018
481,confirmed,Business,germany,Wesley Blanchard,german,2018
482,unconfirmed,Client,italy,Wesley Blanchard,german,2018
483,confirmed,Business,italy,Karen Harrington,german,2018
484,unconfirmed,Client,spain,Kristen Berry,spanish,2018
485,unconfirmed,Business,italy,Karen Harrington,german,2018
486,unconfirmed,Business,france,Wesley Blanchard,german,2018
487,unconfirmed,Client,spain,Wesley Blanchard,german,2018
